Disaster Type,Disaster Subtype,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Magnitude,Magnitude Scale,"Total Damage, Adjusted ('000 US$)",Total Damage ('000 US$),Total Affected,No. Affected,Total Deaths
Flood,Riverine flood,-31.99,-59.12,2007,3.0,20.0,2007,4.0,26.0,4000.0,Km2,15129.0,10000.0,70000.0,70000.0,5.0
Flood,Flash flood,35.64,4.2,2007,4.0,13.0,2007,4.0,15.0,7100.0,Km2,20516.0,13561.0,0.0,0.0,22.0
Flood,Flash flood,7.44,99.65,2007,4.0,14.0,2007,4.0,15.0,290.0,Km2,0.0,0.0,0.0,0.0,38.0
Flood,Flash flood,-32.87,151.38,2007,6.0,8.0,2007,6.0,12.0,11380.0,Km2,1966774.0,1300000.0,5000.0,5000.0,9.0
Flood,Riverine flood,8.38,-75.59,2007,3.0,6.0,2007,9.0,30.0,69990.0,Km2,0.0,0.0,1504317.0,1504144.0,146.0
Flood,Riverine flood,54.18,-125.03,2007,6.0,6.0,2007,6.0,11.0,205000.0,Km2,0.0,0.0,500.0,500.0,0.0
Flood,Riverine flood,27.2,116.14,2007,6.0,1.0,2007,6.0,6.0,168600.0,Km2,19668.0,13000.0,250000.0,250000.0,0.0
Flood,Riverine flood,39.4,43.8,2007,5.0,27.0,2007,6.0,1.0,38490.0,Km2,0.0,0.0,750.0,750.0,13.0
Flood,Flash flood,30.28,107.78,2007,5.0,24.0,2007,5.0,26.0,43530.0,Km2,118006.0,78000.0,2300050.0,2300000.0,43.0
Flood,Riverine flood,30.24,-98.66,2007,5.0,24.0,2007,5.0,29.0,341.3,Km2,0.0,0.0,100.0,100.0,8.0
Flood,Riverine flood,39.89,-4.22,2007,5.0,23.0,2007,5.0,26.0,2400.0,Km2,605161.0,400000.0,8000.0,8000.0,1.0
Flood,Riverine flood,-0.19,116.92,2007,5.0,15.0,2007,6.0,5.0,34350.0,Km2,0.0,0.0,60000.0,60000.0,4.0
Flood,Riverine flood,7.38,-75.43,2007,5.0,19.0,2007,6.0,12.0,29770.0,Km2,0.0,0.0,3000.0,3000.0,13.0
Flood,Riverine flood,-3.59,39.76,2007,5.0,15.0,2007,6.0,11.0,13870.0,Km2,0.0,0.0,651.0,650.0,2.0
Flood,Flash flood,36.52,70.6,2007,5.0,14.0,2007,5.0,18.0,15490.0,Km2,0.0,0.0,2950.0,2000.0,23.0
Flood,Riverine flood,62.34,130.46,2007,5.0,13.0,2007,6.0,11.0,313200.0,Km2,38960.0,25752.0,14000.0,14000.0,0.0
Flood,Riverine flood,17.21,100.34,2007,5.0,11.0,2007,5.0,21.0,38380.0,Km2,0.0,0.0,1000.0,1000.0,0.0
Flood,Riverine flood,-32.77,-55.8,2007,5.0,4.0,2007,5.0,25.0,104100.0,Km2,68081.0,45000.0,119200.0,110000.0,2.0
Flood,Riverine flood,36.29,68.85,2007,5.0,5.0,2007,5.0,7.0,25850.0,Km2,0.0,0.0,645.0,630.0,10.0
Flood,Riverine flood,16.91,96.13,2007,5.0,3.0,2007,5.0,9.0,15670.0,Km2,0.0,0.0,3000.0,3000.0,5.0
Flood,Flash flood,6.49,80.08,2007,5.0,2.0,2007,5.0,7.0,3340.0,Km2,76.0,50.0,121000.0,121000.0,15.0
Flood,Riverine flood,4.5,-75.21,2007,4.0,26.0,2007,5.0,1.0,1940.0,Km2,0.0,0.0,2035.0,0.0,24.0
Flood,Flash flood,37.01,70.73,2007,4.0,23.0,2007,5.0,4.0,27490.0,Km2,0.0,0.0,0.0,0.0,36.0
Flood,Riverine flood,40.63,73.83,2007,4.0,17.0,2007,4.0,25.0,17040.0,Km2,303.0,200.0,845.0,845.0,0.0
Flood,Riverine flood,39.35,69.46,2007,4.0,16.0,2007,4.0,20.0,58420.0,Km2,0.0,0.0,17184.0,17184.0,1.0
Flood,Riverine flood,52.52,-0.76,2007,6.0,15.0,2007,6.0,27.0,420.0,Km2,677780.0,448000.0,200.0,200.0,1.0
Flood,Riverine flood,26.26,94.02,2007,6.0,18.0,2007,6.0,26.0,74890.0,Km2,0.0,0.0,200000.0,200000.0,15.0
